主题,单词,中文释义,词组/搭配
抽象概念,knowledge,知识,gain knowledge
抽象概念,information,信息,useful information
抽象概念,example,例子,for example
抽象概念,method,方法,teaching method
抽象概念,way,方法；路,the right way
抽象概念,means,方法；手段,by no means
抽象概念,system,系统,solar system
抽象概念,rule,规则,follow the rules
抽象概念,law,法律；规律,obey the law
抽象概念,right,正确；权利,right and wrong
抽象概念,wrong,错误的,something wrong
抽象概念,true,真的,a true story
抽象概念,false,假的,false information
抽象概念,real,真的；真实的,real life
抽象概念,important,重要的,very important
抽象概念,difficult,困难的,a difficult problem
抽象概念,easy,容易的,very easy
抽象概念,possible,可能的,possible to do
抽象概念,necessary,必要的,if necessary
抽象概念,useful,有用的,useful tool
抽象概念,dangerous,危险的,dangerous road
抽象概念,safe,安全的,feel safe
抽象概念,type,类型,different types
抽象概念,kind,种类,all kinds of
抽象概念,quality,质量；品质,high quality
抽象概念,value,价值,great value
抽象概念,price,价格,high price
抽象概念,cost,花费,low cost
抽象概念,money,钱,save money
抽象概念,wealth,财富,great wealth
抽象概念,experience,经验；经历,rich experience
抽象概念,chance,机会,a good chance
抽象概念,opportunity,机会,miss an opportunity
抽象概念,advice,建议,good advice
抽象概念,suggestion,建议,make a suggestion
抽象概念,opinion,意见；看法,in my opinion
自然与地理,wood,木头,firewood
自然与地理,stone,石头,a big stone
自然与地理,water,水,drink water
自然与地理,fire,火,make a fire
自然与地理,ground,地面,on the ground
自然与地理,field,田地；场地,football field
自然与地理,forest,森林,dense forest
自然与地理,river,河流,flowing river
自然与地理,lake,湖,a big lake
自然与地理,sea,海,deep sea
自然与地理,mountain,山,mountain climbing
自然与地理,hill,小山,green hill
自然与地理,valley,山谷,a deep valley
自然与地理,island,岛,small island
自然与地理,desert,沙漠,Sahara Desert
自然与地理,beach,海滩,beautiful beach
自然与地理,ocean,海洋,deep ocean
自然与地理,wave,波浪,big waves
自然与地理,earthquake,地震,big earthquake
自然与地理,flood,洪水,river flood
自然与地理,storm,暴风雨,big storm
自然与地理,sky,天空,blue sky
自然与地理,soil,土壤,rich soil
自然与地理,sand,沙子,on the sand
