主题,单词,中文释义,词组/搭配
社交与礼仪,manners,礼貌；规矩,good manners
社交与礼仪,behavior,行为；表现,good behavior
社交与礼仪,behaviour,行为；表现（英）,bad behaviour
社交与礼仪,habit,习惯；习性,good habits
社交与礼仪,custom,风俗；习惯,a Chinese custom
社交与礼仪,tradition,传统；惯例,family tradition
社交与礼仪,ceremony,典礼；仪式,opening ceremony
社交与礼仪,festival,节日；节庆,Spring Festival
社交与礼仪,holiday,假日；节日,public holiday
社交与礼仪,wedding,婚礼；结婚,attend a wedding
社交与礼仪,funeral,葬礼；丧礼,attend a funeral
社交与礼仪,birthday,生日；诞辰,Happy birthday
社交与礼仪,marriage,婚姻；结婚,a happy marriage
社交与礼仪,divorce,离婚；分离,a divorce case
社交与礼仪,respect,尊敬；尊重,show respect
社交与礼仪,polite,有礼貌的；客气的,a polite boy
社交与礼仪,impolite,无礼的；粗鲁的,an impolite answer
社交与礼仪,rude,粗鲁的；无礼的,don't be rude
社交与礼仪,courteous,有礼貌的；谦恭的,a courteous man
社交与礼仪,generous,慷慨的；大方的,be generous to
社交与礼仪,mean,刻薄的；吝啬的,don't be mean
社交与礼仪,kind,善良的；亲切的,be kind to
社交与礼仪,friendly,友好的；亲切的,be friendly to
社交与礼仪,nice,好的；友好的,a nice person
社交与礼仪,lovely,可爱的；令人愉快的,a lovely girl
社交与礼仪,gentle,温和的；轻柔的,gentle voice
社交与礼仪,careful,小心的；仔细的,be careful of
社交与礼仪,careless,粗心的；漫不经心的,a careless mistake
社交与礼仪,helpful,有帮助的；有益的,a helpful man
社交与礼仪,hurt,受伤的；委屈的,feel hurt
社交与礼仪,share,分享；共有,share with
社交与礼仪,care,关心；照顾,care about
社交与礼仪,care for,照顾；喜欢,care for children
社交与礼仪,help,帮助；帮忙,help with
社交与礼仪,tease,取笑；戏弄,don't tease others
社交与礼仪,trick,诡计；恶作剧,play a trick on
社交与礼仪,praise,赞扬；称赞,praise for
社交与礼仪,encourage,鼓励,encourage to
社交与礼仪,support,支持；支撑,support a family
社交与礼仪,protect,保护；防护,protect from
社交与礼仪,trust,信任；信赖,trust in
社交与礼仪,believe,相信；认为,believe in
社交与礼仪,doubt,怀疑；疑虑,no doubt
社交与礼仪,suspect,怀疑；嫌疑,suspect him of
社交与礼仪,argue,争论；辩论,argue with
社交与礼仪,fight,打架；争吵,fight with
社交与礼仪,quarrel,争吵；吵架,quarrel about
社交与礼仪,discuss,讨论；商议,discuss with
社交与礼仪,explain,解释；说明,explain to
社交与礼仪,chat,聊天；闲谈,have a chat
社交与礼仪,talk,谈话；交谈,talk with
社交与礼仪,communicate,交流；沟通,communicate with
社交与礼仪,conversation,谈话；交谈,have a conversation
社交与礼仪,dialogue,对话；交换意见,hold a dialogue
城市与建筑,city,城市；都市,a big city
城市与建筑,town,镇；城镇,a small town
城市与建筑,village,村庄；乡村,a quiet village
城市与建筑,country,国家；乡村,in the country
城市与建筑,capital,首都；资本,capital city
城市与建筑,downtown,市区；市中心,downtown area
城市与建筑,suburb,郊区；近郊,in the suburb
城市与建筑,district,地区；区,a business district
城市与建筑,neighborhood,邻近；附近,a quiet neighborhood
城市与礼仪,block,街区；块,a block of houses
城市与建筑,building,建筑物；房屋,a tall building
城市与建筑,house,房子；住宅,a big house
城市与建筑,apartment,公寓；套房,a small apartment
城市与建筑,flat,公寓；平的,a two-bedroom flat
城市与建筑,office,办公室；事务所,office building
城市与建筑,shop,商店；店铺,a small shop
城市与建筑,store,商店；店铺,a department store
城市与建筑,supermarket,超级市场；超市,at the supermarket
城市与建筑,market,市场；集市,go to market
城市与建筑,mall,购物中心；商场,a shopping mall
城市与建筑,restaurant,餐馆；饭店,at a restaurant
城市与建筑,cafe,咖啡馆；餐馆,a small cafe
城市与建筑,bank,银行；岸,at the bank
城市与建筑,hospital,医院；病院,a general hospital
城市与建筑,school,学校；学院,go to school
城市与建筑,library,图书馆；藏书,a city library
城市与建筑,church,教堂；教会,attend church
城市与建筑,temple,寺庙；神殿,an ancient temple
城市与建筑,palace,宫殿；豪宅,a royal palace
城市与建筑,farm,农场；农庄,on the farm
城市与建筑,factory,工厂；制造厂,a car factory
城市与建筑,port,港；港口,a busy port
城市与建筑,airport,机场；航空站,at the airport
城市与建筑,station,车站；站,at the station
城市与建筑,stop,车站；停止,a bus stop
城市与建筑,pool,游泳池；水池,swimming pool
城市与建筑,playground,操场；游乐场,school playground
城市与建筑,stadium,体育场；体育馆,a football stadium
城市与建筑,cinema,电影院；电影,go to the cinema
城市与建筑,theater,剧场；电影院,at the theater
城市与建筑,church,教堂,attend church
城市与建筑,bridge,桥；桥梁,across a bridge
城市与建筑,tower,塔；高楼,a TV tower
城市与建筑,skyscraper,摩天大楼,a tall skyscraper
城市与建筑,statue,雕像；塑像,a bronze statue
城市与建筑,fountain,喷泉；泉水,a park fountain
城市与建筑,square,广场；正方形,in the square
城市与建筑,park,公园；园区,a city park
城市与建筑,garden,花园；果园,a beautiful garden
城市与建筑,zoo,动物园；兽栏,at the zoo
城市与建筑,post office,邮局,at the post office
城市与建筑,fire station,消防站,call the fire station
城市与建筑,police station,警察局,at the police station
城市与建筑,embassy,大使馆；使馆,a foreign embassy
城市与建筑,courtyard,庭院；院子,an inner courtyard
城市与建筑,balcony,阳台；露台,on the balcony
城市与建筑,roof,屋顶；顶部,on the roof
城市与建筑,basement,地下室；地窖,in the basement
城市与建筑,floor,地板；楼层,on the second floor
城市与建筑,wall,墙；墙壁,on the wall
城市与建筑,fence,栅栏；围栏,over the fence
城市与建筑,gate,大门；闸门,the school gate
城市与建筑,door,门；通道,front door
城市与建筑,window,窗户；窗,look out the window
城市与建筑,stairs,楼梯；阶梯,climb the stairs
城市与建筑,lift,电梯；举起,take the lift
城市与建筑,elevator,电梯；升降机,ride the elevator
城市与建筑,street,街道；街,on the street
城市与建筑,lamp,灯；灯光,street lamp
城市与建筑,light,灯；光线,turn on the light
城市与建筑,neon,霓虹灯；氖,neon sign
城市与礼仪,road,路；公路,on the road
城市与建筑,sign,标志；符号,traffic sign
城市与建筑,traffic light,红绿灯,at the traffic light
天气与气候,weather,天气；气象,nice weather
天气与气候,climate,气候；风气,mild climate
天气与气候,sunny,晴朗的；阳光充足的,a sunny day
天气与气候,rainy,下雨的；多雨的,a rainy day
天气与气候,cloudy,多云的；阴天的,a cloudy sky
天气与气候,windy,有风的；多风的,a windy day
天气与气候,snowy,下雪的；多雪的,a snowy night
天气与气候,foggy,有雾的；模糊的,a foggy morning
天气与气候,stormy,暴风雨的；激烈的,a stormy night
天气与气候,hot,热的；热情的,hot weather
天气与气候,cold,冷的；寒冷的,cold wind
天气与气候,warm,温暖的；热情的,warm sunshine
天气与气候,cool,凉爽的；酷的,cool breeze
天气与气候,warm,温暖的,warm afternoon
天气与气候,humid,潮湿的；湿润的,hot and humid
天气与气候,dry,干的；干燥的,dry climate
天气与气候,wet,湿的；下雨的,wet season
天气与气候,clear,清晰的；晴朗的,clear sky
天气与气候,bright,明亮的；鲜明的,bright sunshine
天气与气候,shiny,晴朗的；闪耀的,shiny day
天气与气候,shine,照耀；发光,sun shines
天气与气候,rain,雨；下雨,heavy rain
天气与气候,shower,阵雨；淋浴,a sudden shower
天气与气候,storm,暴风雨；爆发,a thunderstorm
天气与气候,thunder,雷；雷声,thunder and lightning
天气与气候,lightning,闪电；闪电般的,bright lightning
天气与气候,fog,雾；烟雾,heavy fog
天气与气候,mist,薄雾；模糊,a morning mist
天气与气候,dew,露；露水,covered with dew
天气与气候,snow,雪；下雪,falling snow
天气与气候,ice,冰；冰块,broken ice
天气与气候,hail,冰雹；致敬,a hail storm
天气与气候,wind,风；风儿,strong wind
天气与气候,breeze,微风,a fresh breeze
天气与气候,gale,大风；强风,a strong gale
天气与气候,tornado,龙卷风；旋风,a terrible tornado
天气与气候,hurricane,飓风；风暴,a big hurricane
天气与气候,flood,洪水；淹没,a bad flood
天气与气候,drought,干旱；旱灾,a long drought
天气与气候,earthquake,地震；大震荡,a strong earthquake
天气与气候,fire,火；火灾,a forest fire
天气与气候,disaster,灾难；祸患,natural disaster
天气与气候,emergency,紧急情况；突发事件,emergency exit
天气与气候,accident,事故；意外,a car accident
天气与气候,rescue,营救；解救,rescue team
天气与气候,umbrella,伞；雨伞,open an umbrella
天气与气候,raincoat,雨衣,put on a raincoat
天气与气候,boots,靴子；长筒靴,a pair of boots
天气与气候,hat,帽子,a rain hat
天气与气候,gloves,手套；棒球手套,a pair of gloves
天气与气候,scarf,围巾；头巾,a warm scarf
天气与气候,forecast,预报；预测,weather forecast
天气与气候,temperature,温度；体温,high temperature
天气与气候,degree,程度；度,30 degrees
天气与气候,below,在……下面；低于,below zero
天气与气候,above,在……上面；高于,above zero
语言与沟通,language,语言；语言学,foreign language
语言与沟通,languages,语言（复数）,modern languages
语言与沟通,Chinese,中文；汉语,speak Chinese
语言与沟通,English,英语；英文,learn English
语言与沟通,Japanese,日语；日本的,speak Japanese
语言与沟通,French,法语；法国的,speak French
语言与沟通,German,德语；德国的,learn German
语言与沟通,Spanish,西班牙语；西班牙的,speak Spanish
语言与沟通,Russian,俄语；俄国的,Russian history
语言与沟通,word,单词；词,a new word
语言与沟通,vocabulary,词汇；词汇量,build vocabulary
语言与沟通,dictionary,词典；字典,look up a dictionary
语言与沟通,letter,字母；信件,capital letter
语言与沟通,alphabet,字母表；字母系统,English alphabet
语言与沟通,pronunciation,发音；读音,correct pronunciation
语言与沟通,accent,口音；重音,foreign accent
语言与沟通,grammar,语法,English grammar
语言与沟通,tense,时态；拉紧,past tense
语言与沟通,vocab,词汇,build vocab
语言与沟通,sentence,句子；判决,make a sentence
语言与沟通,question,问题；询问,ask a question
语言与沟通,answer,回答；答案,the answer to
语言与沟通,dialogue,对话；对白,hold a dialogue
语言与沟通,conversation,交谈；会话,have a conversation
语言与沟通,topic,话题；主题,change the topic
语言与沟通,meaning,意义；意思,word meaning
语言与沟通,translation,翻译；译文,Chinese translation
语言与沟通,interpreter,口译员；翻译者,speak through an interpreter
语言与沟通,translator,译者；翻译家,a book translator
语言与沟通,spell,拼写；拼读,spell a word
语言与沟通,read,读；阅读,read aloud
语言与沟通,write,写；写作,write a letter
语言与沟通,speak,说；讲,speak English
语言与沟通,talk,谈话；交谈,talk to
语言与沟通,tell,告诉；讲述,tell a story
语言与沟通,say,说；讲,he says
语言与沟通,call,叫；称呼,call him Tom
语言与沟通,shout,呼喊；喊叫,shout at
语言与沟通,scream,尖叫；惊叫,scream for help
语言与沟通,whisper,低声说；耳语,whisper to
语言与沟通,mumble,咕哝；含糊地说,mumble to oneself
语言与沟通,mutter,咕哝；抱怨,mutter to
语言与沟通,reply,回答；答复,reply to
语言与沟通,respond,回答；反应,respond to
语言与沟通,answer,回答；答案,answer the question
语言与沟通,listen,听；倾听,listen to
语言与沟通,hear,听见；听说,hear from
语言与沟通,sound,声音；听起来,a strange sound
语言与沟通,voice,声音；嗓音,loud voice
语言与沟通,noise,噪声；喧闹声,what's the noise
语言与沟通,loudness,响度；大声,the loudness of
语言与沟通,silence,沉默；寂静,keep silence
语言与沟通,quiet,安静；寂静,in quiet
语言与沟通,communication,交流；通讯,good communication
语言与沟通,expression,表达；表情,facial expression
语言与沟通,gesture,姿势；手势,hand gesture
